node1,node2,time
59,64,1
60,65,1
64,67,1
86,191,1
86,215,1
103,116,1
192,200,1
192,215,1
59,64,2
64,67,2
86,191,2
86,215,2
103,116,2
144,193,2
189,195,2
192,200,2
59,63,3
59,64,3
60,65,3
63,64,3
63,67,3
64,67,3
86,215,3
103,116,3
144,193,3
164,173,3
185,187,3
185,197,3
37,52,4
59,63,4
59,64,4
63,64,4
63,67,4
64,67,4
86,191,4
86,192,4
86,215,4
103,116,4
155,157,4
185,187,4
18,40,5
59,64,5
64,67,5
81,88,5
86,215,5
103,116,5
155,158,5
189,195,5
14,33,6
14,42,6
21,42,6
33,42,6
36,44,6
37,51,6
81,88,6
89,91,6
103,116,6
153,169,6
158,173,6
162,165,6
163,174,6
167,169,6
14,24,7
14,28,7
14,33,7
16,21,7
16,36,7
18,28,7
18,33,7
18,42,7
21,42,7
24,33,7
25,36,7
37,51,7
59,64,7
64,67,7
77,80,7
79,84,7
81,88,7
89,91,7
103,116,7
135,189,7
135,195,7
155,173,7
155,177,7
163,174,7
189,195,7
13,31,8
13,32,8
14,17,8
14,24,8
14,33,8
14,42,8
17,19,8
17,24,8
18,28,8
18,33,8
19,31,8
19,32,8
24,42,8
28,33,8
28,42,8
31,32,8
33,42,8
37,51,8
60,65,8
77,80,8
81,88,8
86,191,8
103,116,8
135,195,8
163,174,8
185,199,8
14,17,9
14,24,9
14,44,9
15,16,9
17,19,9
17,24,9
17,36,9
18,33,9
18,42,9
19,36,9
21,44,9
24,44,9
25,32,9
33,42,9
59,63,9
60,65,9
63,64,9
63,67,9
64,67,9
86,191,9
89,91,9
103,116,9
126,156,9
135,195,9
144,172,9
144,184,9
155,177,9
162,166,9
163,174,9
167,168,9
185,187,9
185,197,9
187,197,9
14,24,10
14,33,10
14,42,10
15,36,10
15,44,10
18,33,10
24,42,10
33,42,10
37,51,10
40,44,10
59,63,10
61,65,10
63,67,10
77,80,10
79,80,10
81,88,10
86,191,10
86,215,10
89,91,10
103,116,10
126,156,10
135,195,10
149,195,10
155,177,10
163,174,10
167,168,10
14,18,11
14,24,11
15,31,11
16,21,11
16,44,11
18,33,11
18,42,11
19,25,11
21,40,11
21,44,11
31,36,11
33,42,11
59,63,11
63,67,11
79,80,11
81,235,11
86,191,11
89,91,11
103,116,11
162,166,11
167,168,11
185,187,11
14,24,12
14,42,12
15,16,12
15,31,12
18,33,12
19,25,12
21,36,12
21,44,12
24,28,12
28,42,12
31,36,12
33,42,12
37,51,12
59,63,12
60,65,12
63,67,12
75,89,12
81,88,12
86,191,12
86,215,12
89,91,12
103,116,12
162,166,12
167,168,12
14,24,13
14,42,13
18,33,13
33,42,13
35,36,13
37,52,13
79,80,13
89,91,13
103,116,13
126,156,13
162,166,13
163,174,13
167,168,13
185,187,13
192,200,13
199,209,13
200,215,13
14,17,14
14,42,14
17,31,14
18,33,14
28,42,14
33,42,14
86,191,14
86,215,14
103,116,14
135,195,14
162,166,14
163,174,14
167,168,14
187,197,14
192,215,14
197,215,14
14,17,15
14,24,15
15,17,15
15,42,15
17,24,15
19,40,15
21,36,15
60,65,15
77,80,15
78,235,15
86,191,15
103,116,15
167,168,15
10,29,16
15,31,16
37,51,16
60,73,16
103,116,16
116,147,16
126,153,16
135,189,16
135,195,16
155,177,16
167,168,16
185,187,16
189,195,16
3,22,17
3,62,17
3,72,17
17,24,17
75,79,17
83,84,17
155,177,17
167,168,17
187,204,17
5,27,18
59,63,18
59,64,18
63,64,18
63,67,18
64,67,18
81,88,18
135,195,18
155,177,18
163,174,18
167,168,18
189,195,18
191,215,18
3,13,19
5,8,19
5,30,19
59,64,19
64,67,19
71,196,19
81,88,19
83,84,19
85,194,19
155,177,19
167,168,19
186,194,19
2,20,20
6,20,20
20,71,20
24,68,20
59,63,20
59,64,20
63,64,20
63,67,20
64,67,20
64,73,20
77,80,20
86,187,20
115,161,20
126,153,20
155,177,20
167,168,20
187,215,20
199,200,20
1,22,21
2,4,21
24,68,21
83,206,21
115,161,21
126,156,21
135,195,21
155,177,21
167,168,21
59,63,22
63,64,22
63,67,22
64,67,22
75,89,22
76,237,22
77,80,22
79,229,22
81,240,22
85,186,22
85,222,22
88,240,22
89,91,22
115,161,22
135,195,22
155,177,22
167,168,22
206,229,22
235,238,22
237,242,22
1,22,23
17,24,23
17,30,23
17,31,23
17,68,23
24,68,23
59,63,23
59,64,23
63,64,23
63,67,23
64,67,23
75,89,23
75,242,23
78,239,23
81,88,23
83,84,23
83,229,23
86,226,23
89,237,23
89,242,23
135,195,23
155,177,23
167,168,23
188,218,23
191,226,23
194,220,23
220,226,23
235,238,23
237,242,23
1,22,24
17,24,24
33,42,24
59,63,24
63,67,24
77,80,24
78,239,24
83,84,24
129,159,24
135,195,24
144,193,24
155,177,24
167,168,24
197,222,24
1,22,25
24,68,25
59,63,25
59,64,25
60,73,25
63,64,25
63,67,25
64,67,25
78,239,25
83,84,25
113,241,25
115,161,25
155,177,25
167,168,25
197,222,25
222,225,25
1,22,26
24,68,26
34,51,26
83,229,26
86,192,26
97,116,26
109,116,26
116,241,26
135,189,26
155,177,26
167,168,26
189,195,26
197,222,26
1,22,27
52,54,27
52,55,27
52,190,27
54,55,27
54,190,27
83,84,27
97,109,27
97,116,27
108,111,27
135,195,27
155,177,27
167,168,27
197,222,27
1,22,28
17,68,28
52,94,28
79,231,28
83,84,28
95,102,28
95,107,28
100,104,28
102,104,28
107,147,28
109,116,28
155,177,28
167,168,28
185,186,28
197,222,28
1,22,29
34,120,29
37,45,29
60,73,29
77,80,29
79,231,29
81,88,29
83,84,29
95,105,29
97,116,29
106,232,29
126,153,29
135,195,29
155,177,29
167,168,29
